name,address,city,latitude,longitude,phone,website,has_adoration,has_confessions,country
Atxetako Andra Maria parrokia,,,43.2630884,-2.912079,,,false,false,ES
Santuario de Agavanzal,,,41.9869344,-6.1228131,,,false,false,ES
Ermita Nuestra Señora de los Milagros,,,36.154499,-5.4510093,,,false,false,ES
Ermita de San Cristobal,,,42.1921768,-0.1202461,,,false,false,ES
Parroquia de Antonio María Clavet,,,42.8269417,-1.6650918,,,false,false,ES
Parroquia de Nuestra Señora de Europa,Carretera de Carabineros,,36.3568327,-6.1579001,956 49 24 15,http://parroquianuestraseñoraeuropa.es,false,false,ES
San Cristóbal,,,43.3127951,-3.0176903,,,false,false,ES
Iglesia de San Pedro,,,43.2668762,-3.7341732,,,false,false,ES
Iglesia Vieja Colloto,,Colloto,43.378468,-5.7974748,,,false,false,ES
parroquia San Isidro,,,38.1714983,-0.8367734,,,false,false,ES
Nuestra Señora de los Ángeles,,,37.9330742,-1.2067029,,https://www.sangonera.es/iglesia.html,false,false,ES
Ermita del Pilar,,,38.1229473,-0.8890007,,,false,false,ES
Santa Agnès,,,41.400883,2.1444305,,,false,false,ES
Ermita de Ponton,,,43.0975328,-5.0164821,,,false,false,ES
Capela das Vendas de Ceira,,,40.1690156,-8.3909078,,,false,false,ES
Convento Siervas de Maria,,,43.1811101,-2.2641048,,,false,false,ES
Convento Santa Ángela de la Cruz,,,37.393838,-5.9903223,,,false,false,ES
Capilla del Museo,,,37.3928975,-5.9999956,,,false,false,ES
Iglesia de Nuestra Señora de la Asunción,,,40.2652315,-5.0866076,,,false,false,ES
Ermita de La Magdalena,,,43.3770802,-5.2830783,,,false,false,ES
Capela do Sobral,,,40.1640228,-8.3846875,,,false,false,ES
Igesia de la Asunción,,,39.5611788,-6.4194007,,,false,false,ES
Capella del Crist de la Pau,,,38.4013225,-0.4365653,,,false,false,ES
Iglesia de San Francisco,,,39.2229033,-7.0007283,,,false,false,ES
Església de Sant Martí Sacosta,,,41.9850403,2.8265741,,,false,false,ES
Senhor da Livração,,,40.9442031,-7.8294478,,,false,false,ES
Ermita de Santiago,,Casar de Cáceres,39.5654206,-6.4184485,,,false,false,ES
Parroquia Nuestra señora de la Salud,,,37.4098714,-5.9878465,,,false,false,ES
Parroquia de San Jerónimo,,,37.42488,-5.9826372,,,false,false,ES
Santa Teresa,,,40.6640782,-3.7782176,,,false,false,ES
Sant Mateu,Rambla del Carme 30,Esplugues de Llobregat,41.3717969,2.0850329,,,false,false,ES
Iglesia de Santa María,,,41.2411372,-6.5240579,,,false,false,ES
Santa Teresa monasterioa,Gaztelubide 2,Donostia / San Sebastián,43.3241766,-1.9873002,,,false,false,ES
Sant Ferriol,,,42.1813447,2.4854837,,,false,false,ES
Ermita de Santa Justa,,,41.6254841,2.2483485,,,false,false,ES
Exaltación de la Santa Cruz,,,41.2585946,-4.1843444,,,false,false,ES
Ermita del Santo Cristo del Humilladero,,,41.2600786,-4.1811901,,,false,false,ES
Ermita de San Andrés,,,41.2571646,-4.1625899,,,false,false,ES
El Carmen,,,38.2476403,-6.3081893,,,false,false,ES
Nuestra Señora de la Hermosa,,,38.2481767,-6.301367,,,false,false,ES
Cementerio Cobrana,,,42.6235401,-6.4936321,,,false,false,ES
Parroquia de Cristo Rey,Plaza del Barrio Vidal 10,Salamanca,40.9743275,-5.6673536,,,false,false,ES
Iglesia de San Miguel,,,41.7179585,-1.0261497,,,false,false,ES
Santa María la Mayor,,,39.9484384,-1.3679261,,,false,false,ES
Iglesia de San Miguel Arcangel,,,41.6497763,-5.8062957,,,false,false,ES
Iglesia de Santa Juliana,,,42.8751014,-4.1294971,,,false,false,ES
Cueva de San Pascual,,,38.3767855,-0.6662271,,,false,false,ES
Ermita San Adolfo,,,36.394598,-5.2611163,,,false,false,ES
Iglesia de la Immaculada Concepción,,,36.9315296,-4.5297604,,,false,false,ES
Santa Maria de Güel,,,42.24989,0.4903695,,,false,false,ES
Iglesia de La Inmaculada,,,42.8085869,-1.637104,,,false,false,ES
Iglesia Santa María de Brañas,,,43.0119407,-6.4465518,,,false,false,ES
Iglesia de San Pedro Martir de Verona,,,36.5442387,-5.2360559,,,false,false,ES
Ermita de la Virgen de la Cabeza,,,38.6541214,-3.3667738,,,false,false,ES
Església de Sant Joan de Penyagolosa,,,40.2511619,-0.3546543,,,false,false,ES
Ermita de San Roque,,,43.3687526,-4.5409696,,,false,false,ES
Santa Cecília,,,42.3102195,2.8398446,,,false,false,ES
Ermita Nuestra Señora de Fátima,,,43.0879899,-6.6062407,,,false,false,ES
Iglesia de Santa María,,,38.8601623,-6.104399,,,false,false,ES
Ermita de San Lorenzo,,,43.1471044,-6.6236089,,,false,false,ES
Ermita de San Ildefonso,,,43.1500912,-6.6021839,,,false,false,ES
Ermita de San Antón,,,43.1790067,-6.5626437,,,false,false,ES
Ermita de Santiago,,,43.1672743,-6.5377454,,,false,false,ES
Ermita de Santa Bárbara,,,43.1723199,-6.5137621,,,false,false,ES
Ermita de la Pilarina,,,43.1925489,-6.5119698,,,false,false,ES
Ilesia de Samartín,,,43.2389407,-6.4527218,,,false,false,ES
Tainás (San Esteban),,,43.1784045,-6.4522735,,,false,false,ES
Ermita Nuestra Señora de la Becerrala,,,43.2186812,-6.4208571,,,false,false,ES
Iglesia Ambrás,,,43.172419,-6.4197838,,,false,false,ES
Iglesia de Santa María de la Asunción,,,42.0776421,-5.3278698,,,false,false,ES
Santa María Magdalena,,,43.1092817,-6.6639734,,,false,false,ES
Iglesia de San Antonio,,,43.3330619,-4.5955669,,,false,false,ES
Mare de Déu de Gràcia,,,41.7433756,2.9336733,,,false,false,ES
Iglesia de San Bartolomé,,,43.4250052,-3.7725694,,,false,false,ES
Iglesia de Nuestra Señora de Cébrano,,,43.1474635,-6.0725036,,,false,false,ES
Ermita Virxe de Lourdes,,,43.1556606,-6.0908077,,,false,false,ES
Ermida la Nuesa Señora'l Rosariu,,,43.1794183,-6.1106404,,,false,false,ES
Ermita del Divino Pastor,,,36.6306536,-5.1222112,,,false,false,ES
Iglesia Inmaculada Concepción,,,36.5994068,-4.5356881,,,false,false,ES
Ermita de San Pelayo,,,43.1257956,-5.9208648,,,false,false,ES
Santo Sepulcro,,Torres del Río,42.5521242,-2.2714057,,,false,false,ES
Iglesia Nuestra Señora de Araceli,,,38.2955001,-6.0802877,,,false,false,ES
Iglesia de San Martín,,,43.4130329,-3.7697651,,,false,false,ES
Església de Sant Miquel,,,39.0572625,1.4382633,,,false,false,ES
Església de Santa Coloma,Carrer de l' Esglèsia,Santa Coloma de Cervelló,41.3665764,2.014952,,,false,false,ES
Nuesa Señora de la Regla,,,43.2520474,-6.045576,,,false,false,ES
Iglesia de la Asunción de Nuestra Señora,,,43.3958578,-3.5909824,,,false,false,ES
Iglesia Santa Eugenia,,,43.1856063,-5.8482573,,,false,false,ES
Sant Esteve,,,41.8889096,2.7426845,,,false,false,ES
Ermita de Nuestra Señora de los Remedios,,El Real de la Jara,37.9508329,-6.15338,,,false,false,ES
Iglesia de San Bartolomé,,El Real de la Jara,37.9506784,-6.1558441,,,false,false,ES
Santo Domingo de la Calzada,,,40.4742726,-3.7436079,,,false,false,ES
Ermita de Santiago,,,43.0612913,-5.8376961,,,false,false,ES
Ermita de San Tirso,,,43.0262692,-5.7846133,,,false,false,ES
Ermita de los Remedios,,,43.1075024,-5.7705826,,,false,false,ES
Ermita Nuestra Señora de los Angeles,,,36.7620614,-5.3627939,,,false,false,ES
Parroquia de Santa Victoria,Calle Párroco Agustín Molina 22,,37.9098936,-4.7793605,+34 957 27 34 44,,false,false,ES
Sant Cebrià,,,42.2470767,2.9378011,,,false,false,ES
Ermita de Santa Bárbara,,,39.8537828,-0.523596,,,false,false,ES
Centre Paroissial,Rue Gilet 85,Colomiers,43.6113038,1.3394935,,,false,false,ES
Cristo de las Agonías,,,38.9888353,-3.3804587,,,false,false,ES
Església de la Mare de Déu del Pilar,,,40.4235056,0.0774859,,,false,false,ES
Iglesia de Bergusa,,,42.5717067,-0.2732855,,,false,false,ES
Parroquia de Santo Domingo de Silos,Calle Cardenal Segura,Santo Domingo-Caudilla,40.0145199,-4.3263301,,,false,false,ES
Parroquia de San José,,,39.3830465,-0.3329639,,,false,false,ES
Igreja,,,40.0717142,-8.8043989,,,false,false,ES
Iglesia de los Desamparados,,,38.2573174,-0.7073792,,,false,false,ES
Igreja do Alqueidão,,,40.095917,-8.7748576,,,false,false,ES
Igreja Antiga do Alqueidão,,,40.0975188,-8.7738871,,,false,false,ES
Iglesia parroquial,,,41.691106,-2.1442696,,,false,false,ES
Santa Glória,,,37.2345119,-8.128051,,,false,false,ES
Iglesia de Santa María de Berbegal,,,41.9610196,-0.0029512,,,false,false,ES
San Juan Bautista,,,41.957221,0.0573273,,,false,false,ES
Iglesia de Santa María del Romeral,,,41.9285237,0.118812,,,false,false,ES
Ermita de la Virgen de la Peña,,,42.5214331,-0.72234,,,false,false,ES
Capela da Nossa Senhora da Saúde,,,41.5318919,-8.7750932,,,false,false,ES
Casa Hermandad Ilmo. Cristo del Descendimiento,,,37.993093,-3.4662218,,,false,false,ES
Ermita de Santa Teresa,,,42.5042529,-0.6617383,,,false,false,ES
Centro Paroquial de Palmeira,,,41.590145,-8.4278776,,,false,false,ES
Iglesia de San Cornelio y San Cipriano,,,43.0396112,-3.976135,,,false,false,ES
Ermita de Santa Lucía,,,41.9292272,-3.0628107,,,false,false,ES
Santa Bárbara,,,42.6701605,-1.8537391,,,false,false,ES
Sagrado Corazón de Jesús,,,39.645178,-4.9871059,,,false,false,ES
Capela de Santa Apolónia,,,41.444332,-8.3244658,,,false,false,ES
La Natividad de Nuestra Señora,,,42.704895,-1.5083932,,,false,false,ES
Capilla de Santa Ana,,,37.9952417,-3.4689124,,,false,false,ES
Iglésia Nuestra Señora de la Asunción,,,37.7444437,-0.8479569,,,false,false,ES
Ermita Cristo de la Vera Cruz,,,36.5505509,-5.2740862,,,false,false,ES
Ermita de San Bartolomé,,,40.1750021,-0.4606078,,,false,false,ES
Igreja da Misericórdia,,,38.8951238,-8.0173753,,,false,false,ES
"Hermandad de ""Sta. Mª del Alcázar y S. Andrés""",,,37.9973714,-3.4717417,,,false,false,ES
